Order ID,Order Date,Ship Date,Customer ID,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
rw-7165-72015,2023-07-07,2023-07-08,NE-21624,Home Office,Central,Technology,Phones,Apple iPhone SE 2022,826.82,5,0.2,9.31
Rg-5604-66747,2025-02-22,2025-02-23,EX-59504,Home Office,South,Office Supplies,Binders,Heavy-Duty Binder,987.08,7,0.1,90.31
VA-2677-91007,2024-02-18,2024-02-20,nF-31645,Home Office,West,Furniture,Chairs,Ergonomic Chair X1,812.64,2,0.0,185.65
Mv-2681-79724,2024-05-18,2024-05-20,tD-21391,Home Office,Central,Office Supplies,Binders,Heavy-Duty Binder,558.19,9,0.2,-6.27
XM-8467-43494,2024-11-16,2024-11-17,vV-46818,Corporate,South,Office Supplies,Binders,3-Ring Binder,50.39,5,0.2,-0.8
Dq-2285-49689,2024-07-21,2024-07-22,qD-38149,Home Office,Central,Office Supplies,Paper,Colored Printer Paper,280.2,9,0.2,3.93
Vq-0142-52103,2025-01-16,2025-01-21,xg-23900,Corporate,Central,Office Supplies,Paper,A4 Copier Paper,611.02,7,0.2,16.1
cC-7483-57492,2024-09-09,2024-09-11,BH-59650,Corporate,East,Office Supplies,Pens,Ballpoint Pen,864.78,3,0.1,105.29
Ex-6538-17312,2024-10-09,2024-10-10,LV-04875,Home Office,South,Office Supplies,Paper,Colored Printer Paper,261.84,7,0.3,-23.07
JS-3412-33897,2024-12-21,2024-12-25,De-74755,Corporate,Central,Office Supplies,Pens,Gel Ink Pen,397.85,3,0.1,26.59
ve-0021-91640,2024-05-07,2024-05-11,Ag-50694,Corporate,East,Technology,Phones,Samsung Galaxy A53,760.79,5,0.2,35.39
fo-0101-31527,2024-06-15,2024-06-20,Wm-19486,Home Office,West,Office Supplies,Binders,Heavy-Duty Binder,661.63,10,0.1,94.21
nT-3169-41359,2024-08-24,2024-08-26,RF-05201,Consumer,South,Office Supplies,Paper,Colored Printer Paper,313.61,1,0.1,38.56
Wi-9541-95364,2024-05-01,2024-05-06,SR-97642,Home Office,Central,Office Supplies,Pens,Gel Ink Pen,181.09,4,0.2,-2.06
Lu-7266-44292,2024-05-02,2024-05-06,bF-20509,Corporate,Central,Furniture,Bookcases,Glass Bookcase,240.03,1,0.1,23.56
uR-3003-21831,2025-02-21,2025-02-24,IQ-15904,Corporate,West,Technology,Accessories,Logitech Mouse M325,900.38,6,0.2,-16.94
na-4516-33591,2024-03-10,2024-03-15,fn-83620,Corporate,South,Office Supplies,Paper,Colored Printer Paper,926.57,8,0.3,-130.78
Lu-8069-77155,2024-07-22,2024-07-24,eg-01836,Consumer,Central,Technology,Laptops,Dell Inspiron 15,216.41,4,0.2,7.69
xx-1100-57328,2023-10-19,2023-10-23,wL-91918,Consumer,South,Office Supplies,Paper,A4 Copier Paper,399.55,2,0.3,-36.75
bf-6156-46492,2025-02-06,2025-02-08,KE-66336,Corporate,South,Furniture,Chairs,Ergonomic Chair X1,264.61,4,0.1,33.32
Ib-5369-90241,2024-01-24,2024-01-28,IX-15571,Consumer,South,Technology,Accessories,Logitech Mouse M325,892.17,3,0.2,-5.85
TT-0421-06766,2023-12-05,2023-12-07,qB-80160,Consumer,Central,Office Supplies,Binders,Heavy-Duty Binder,222.92,4,0.0,50.32
Mi-0429-49297,2025-01-20,2025-01-24,gB-52274,Corporate,East,Office Supplies,Pens,Gel Ink Pen,751.55,5,0.0,152.27
VR-7149-37545,2025-02-23,2025-02-27,bD-47871,Corporate,Central,Office Supplies,Binders,Heavy-Duty Binder,938.5,1,0.0,163.69
OO-5404-74773,2023-06-28,2023-07-01,em-28412,Consumer,West,Furniture,Tables,Meeting Table A2,441.09,9,0.0,94.25
RU-5351-29487,2025-06-11,2025-06-14,Sr-35770,Consumer,South,Furniture,Chairs,Ergonomic Chair X1,64.39,2,0.0,11.37
eM-5894-92305,2023-08-03,2023-08-04,PH-44405,Consumer,South,Office Supplies,Paper,Colored Printer Paper,861.29,1,0.0,153.31
Qg-3984-29866,2024-07-11,2024-07-12,aF-75011,Corporate,West,Technology,Accessories,Logitech Mouse M325,174.22,8,0.3,-15.69
gY-8151-05254,2024-09-18,2024-09-23,DO-01639,Corporate,West,Office Supplies,Pens,Ballpoint Pen,146.45,3,0.3,-20.22
nb-8375-53054,2025-02-26,2025-03-01,Dk-78706,Home Office,West,Technology,Laptops,HP Pavilion x360,504.67,5,0.1,69.85
EN-3247-78831,2023-11-03,2023-11-05,aB-92957,Consumer,West,Furniture,Tables,Adjustable Table B1,368.29,5,0.0,57.03
sw-3766-83085,2025-03-09,2025-03-11,nx-93001,Corporate,South,Technology,Laptops,Dell Inspiron 15,398.1,4,0.1,59.28
Fh-3700-28095,2023-12-27,2023-12-28,bJ-09716,Home Office,West,Technology,Laptops,HP Pavilion x360,542.92,6,0.2,-19.85
LW-4395-87914,2023-12-27,2023-12-28,NG-98200,Corporate,South,Technology,Phones,Apple iPhone SE 2022,398.22,7,0.1,31.8
sh-3541-27242,2023-08-06,2023-08-08,WR-16119,Corporate,Central,Office Supplies,Paper,Colored Printer Paper,735.98,8,0.2,-5.4
Ge-6911-90358,2024-01-28,2024-01-30,rI-23776,Home Office,East,Office Supplies,Pens,Gel Ink Pen,393.68,7,0.2,17.02
Ne-1478-76745,2023-09-07,2023-09-11,EU-23546,Corporate,West,Office Supplies,Pens,Ballpoint Pen,669.47,1,0.3,-91.89
SG-7750-55260,2025-03-14,2025-03-19,IE-73249,Home Office,West,Furniture,Chairs,Executive Chair Z3,590.57,4,0.2,2.37
Ta-5156-14555,2024-09-28,2024-10-01,uN-69167,Corporate,East,Technology,Phones,Samsung Galaxy A53,896.27,4,0.3,-112.11
Ev-3333-51729,2025-02-15,2025-02-17,EV-24391,Home Office,South,Technology,Laptops,HP Pavilion x360,349.56,1,0.2,-12.41
Ci-0223-13978,2023-09-10,2023-09-12,MO-04881,Consumer,West,Technology,Phones,Samsung Galaxy A53,77.93,10,0.3,-4.89
YD-3186-84132,2024-04-04,2024-04-09,Ts-10678,Consumer,South,Technology,Phones,Apple iPhone SE 2022,337.75,9,0.2,-10.77
qX-4235-48406,2024-06-23,2024-06-24,pk-52477,Home Office,Central,Furniture,Tables,Adjustable Table B1,485.76,10,0.0,100.1
gs-7344-86347,2024-02-25,2024-02-27,MA-27686,Home Office,Central,Office Supplies,Pens,Gel Ink Pen,799.94,8,0.3,-73.39
Xs-3141-69243,2024-04-12,2024-04-17,JL-39531,Corporate,Central,Office Supplies,Binders,Heavy-Duty Binder,953.95,3,0.1,73.66
RB-4503-90004,2025-03-27,2025-03-30,Qd-96192,Corporate,East,Furniture,Tables,Meeting Table A2,829.85,1,0.3,-74.63
gA-0516-07648,2024-01-30,2024-02-02,Qb-37802,Consumer,South,Office Supplies,Pens,Gel Ink Pen,508.78,6,0.3,-32.15
UE-1020-81718,2023-08-25,2023-08-29,ZK-95809,Corporate,Central,Furniture,Bookcases,Glass Bookcase,862.67,4,0.2,27.64
